t,stimulus,reflection,conscious_continuation,human_agency,ai_assistance,confidence,question_density,word_count
0.0,1.0,1.0,1.0,1.0,0.0,0.77,0.125,8.0
1.0,1.0,1.0,1.0,1.0,0.0,0.77,0.125,8.0
2.0,1.0,0.0,1.0,1.0,0.0,0.8,0.2,5.0
3.0,1.0,0.0,1.0,1.0,0.0,0.8,0.25,4.0
4.0,0.0,0.0,1.0,1.0,0.0,0.8,0.0,5.0
5.0,0.0,1.0,1.0,1.0,0.0,0.61,0.0,6.0
6.0,0.0,0.0,1.0,1.0,0.0,0.61,0.0,5.0
7.0,0.0,0.0,1.0,1.0,0.0,0.8,0.0,5.0
8.0,0.0,1.0,1.0,1.0,0.0,0.61,0.0,7.0
9.0,0.0,1.0,1.0,1.0,0.0,0.8,0.0,7.0
10.0,0.0,1.0,1.0,1.0,0.0,0.8,0.0,6.0
11.0,1.0,0.0,1.0,1.0,0.0,0.69,0.2,5.0
12.0,0.0,1.0,1.0,1.0,0.0,0.61,0.0,6.0
